clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.39,0.52,0.56,0.17,0.21,0.22,0.14,0.08,0.27,Horror
0.75,0.41,0.43,0.49,0.23,0.36,0.26,0.14,0.19,Comedy
0.68,0.51,0.36,0.46,0.21,0.32,0.31,0.15,0.3,Drama
0.68,0.72,0.54,0.44,0.37,0.35,0.29,0.22,0.29,Comedy
0.17,0.31,0.4,0.32,0.13,0.24,0.2,0.08,0.32,Adventure
0.84,0.53,0.58,0.22,0.6,0.63,0.39,0.42,0.18,Crime
0.82,0.53,0.56,0.44,0.59,0.62,0.43,0.45,0.18,Comedy
0.57,0.5,0.28,0.46,0.29,0.56,0.66,0.39,0.35,Biography
0.69,0.55,0.46,0.39,0.37,0.56,0.55,0.39,0.34,Comedy
0.45,0.45,0.33,0.53,0.1,0.17,0.25,0.08,0.38,Crime
0.48,0.36,0.2,0.47,0.14,0.35,0.31,0.12,0.28,Action
0.64,0.35,0.15,0.35,0.19,0.52,0.46,0.21,0.24,Comedy
0.42,0.43,0.23,0.73,0.05,0.07,0.12,0.03,0.41,Horror
0.75,0.62,0.41,0.56,0.34,0.36,0.43,0.29,0.33,Comedy
0.57,0.61,0.39,0.52,0.33,0.39,0.42,0.28,0.36,Horror
0.29,0.52,0.23,0.61,0.11,0.2,0.36,0.12,0.46,Action
0.88,0.25,0.43,0.24,0.41,0.57,0.29,0.24,0.18,Comedy
0.79,0.45,0.43,0.55,0.27,0.34,0.34,0.2,0.3,Comedy
0.41,0.35,0.19,0.48,0.09,0.2,0.22,0.07,0.37,Action
0.91,0.37,0.28,0.41,0.29,0.5,0.33,0.21,0.19,Comedy
0.7,0.44,0.3,0.82,0.15,0.2,0.43,0.17,0.49,Comedy
0.43,0.5,0.17,0.59,0.15,0.32,0.5,0.2,0.44,Crime
0.82,0.59,0.66,0.33,0.54,0.57,0.36,0.36,0.22,Comedy
0.79,0.24,0.46,0.15,0.11,0.1,0.05,0.02,0.16,Biography
0.74,0.4,0.4,0.38,0.26,0.39,0.31,0.18,0.25,Comedy
0.73,0.48,0.62,0.25,0.23,0.15,0.08,0.06,0.14,Horror
0.43,0.49,0.33,0.35,0.17,0.28,0.3,0.13,0.38,Action
0.72,0.37,0.57,0.21,0.41,0.47,0.27,0.22,0.21,Action
0.68,0.4,0.57,0.32,0.2,0.14,0.08,0.05,0.16,Horror
0.67,0.58,0.34,0.57,0.2,0.25,0.34,0.16,0.42,Horror
0.81,0.37,0.61,0.26,0.29,0.26,0.13,0.1,0.13,Horror
0.52,0.4,0.25,0.31,0.17,0.35,0.27,0.12,0.21,Horror
0.92,0.29,0.34,0.44,0.21,0.36,0.22,0.12,0.2,Action
0.58,0.49,0.41,0.4,0.19,0.25,0.23,0.11,0.32,Comedy
